+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                              ;
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                          ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; WMEM|SCFF|auto_generated|dpfifo|wr_ptr                                                                                                                             ; 4     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WMEM|SCFF|auto_generated|dpfifo|usedw_counter                                                                                                                      ; 5     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WMEM|SCFF|auto_generated|dpfifo|rd_ptr_msb                                                                                                                         ; 4     ; 0              ; 0            ; 0              ; 7      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WMEM|SCFF|auto_generated|dpfifo|three_comparison                                                                                                                   ; 16    ; 8              ; 0            ; 8              ; 1      ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WMEM|SCFF|auto_generated|dpfifo|almost_full_comparer                                                                                                               ; 16    ; 8              ; 0            ; 8              ; 1      ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WMEM|SCFF|auto_generated|dpfifo|FIFOram                                                                                                                            ; 50    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WMEM|SCFF|auto_generated|dpfifo                                                                                                                                    ; 37    ; 0              ; 0            ; 0              ; 41     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WMEM|SCFF|auto_generated                                                                                                                                           ; 37    ; 0              ; 0            ; 0              ; 34     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; WMEM                                                                                                                                                               ; 90    ; 25             ; 2            ; 25             ; 197    ; 25              ; 25            ; 25              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; CORE|FP_ADDZ|fp_add7_altfp_add_sub_nti_component|trailing_zeros_limit_comparator|auto_generated                                                                    ; 12    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; CORE|FP_ADDZ|fp_add7_altfp_add_sub_nti_component|man_res_rounding_add_sub_upper1|auto_generated                                                                    ; 27    ; 0              ; 13           ; 0              ; 13     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; CORE|FP_ADDZ|fp_add7_altfp_add_sub_nti_component|man_res_rounding_add_sub_lower|auto_generated                                                                     ; 26    ; 0              ; 0            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; CORE|FP_ADDZ|fp_add7_altfp_add_sub_nti_component|man_add_sub_upper1|auto_generated                                                                                 ; 33    ; 0              ; 2            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; CORE|FP_ADDZ|fp_add7_altfp_add_sub_nti_component|man_add_sub_upper0|auto_generated                                                                                 ; 33    ; 0              ; 2            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; CORE|FP_ADDZ|fp_add7_altfp_add_sub_nti_component|man_add_sub_lower|auto_generated                                                                                  ; 33    ; 0              ; 2            ; 0              ; 15     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; CORE|FP_ADDZ|fp_add7_altfp_add_sub_nti_component|man_2comp_res_upper1|auto_generated                                                                               ; 33    ; 0              ; 2            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; CORE|FP_ADDZ|fp_add7_altfp_add_sub_nti_component|man_2comp_res_upper0|auto_generated                                                                               ; 33    ; 0              ; 2            ; 0              ; 14     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; CORE|FP_ADDZ|fp_add7_altfp_add_sub_nti_component|man_2comp_res_lower|auto_generated                                                                                ; 33    ; 0              ; 2            ; 0              ; 15     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; CORE|FP_ADDZ|fp_add7_altfp_add_sub_nti_component|add_sub6|auto_generated                                                                                           ; 18    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; CORE|FP_ADDZ|fp_add7_altfp_add_sub_nti_component|add_sub5|auto_generated                                                                                           ; 21    ; 0              ; 2            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
