[1, 1] [1, 1] 2 2 66383 22
[2, 1] [1, 1] 2 2 56911 22
[4, 1] [1, 1] 2 2 52175 22
[8, 1] [1, 1] 2 2 49807 22
[16, 1] [1, 1] 2 2 31727 22
[2, 1] [2, 1] 2 2 57167 22
[4, 1] [2, 1] 2 2 52431 22
[8, 1] [2, 1] 2 2 50063 22
[16, 1] [2, 1] 2 2 31983 22
[4, 1] [4, 1] 2 2 49039 22
[8, 1] [4, 1] 2 2 46671 22
[16, 1] [4, 1] 2 2 28591 22
[8, 1] [8, 1] 2 2 45487 22
[16, 1] [8, 1] 2 2 27407 22
[16, 1] [16, 1] 2 2 26607 22
[16, 1] [16, 1] 2 2 24668 22
[16, 2] [16, 1] 2 2 16260 22
[16, 4] [16, 1] 2 2 10844 22
[16, 8] [16, 1] 2 2 8540 22
[16, 16] [16, 1] 2 2 7402 22
[16, 2] [16, 2] 2 2 15468 22
[16, 4] [16, 2] 2 2 10052 22
[16, 8] [16, 2] 2 2 7748 22
[16, 16] [16, 2] 2 2 6610 22
[16, 4] [16, 4] 2 2 9696 22
[16, 8] [16, 4] 2 2 7392 22
[16, 16] [16, 4] 2 2 6254 22
[16, 4] [16, 4] 2 3 9700 30
[16, 8] [16, 4] 2 3 7396 30
[16, 16] [16, 4] 2 3 6258 30
[16, 8] [16, 8] 2 2 7246 22
[16, 16] [16, 8] 2 2 6108 22
[16, 8] [16, 8] 2 3 7228 30
[16, 16] [16, 8] 2 3 6090 30
[16, 8] [16, 8] 2 4 7218 38
[16, 16] [16, 8] 2 4 6080 38
[16, 16] [16, 16] 2 2 6025 26
[16, 16] [16, 16] 2 3 6007 36
[16, 16] [16, 16] 2 4 6029 46
