[1, 1] [1, 1] 2 2 4243535 22
[2, 1] [1, 1] 2 2 3637327 22
[4, 1] [1, 1] 2 2 3334223 22
[8, 1] [1, 1] 2 2 3182671 22
[16, 1] [1, 1] 2 2 2025551 22
[32, 1] [1, 1] 2 2 1291855 22
[64, 1] [1, 1] 2 2 976719 22
[128, 1] [1, 1] 2 2 820943 22
[2, 1] [2, 1] 2 2 3653711 22
[4, 1] [2, 1] 2 2 3350607 22
[8, 1] [2, 1] 2 2 3199055 22
[16, 1] [2, 1] 2 2 2041935 22
[32, 1] [2, 1] 2 2 1308239 22
[64, 1] [2, 1] 2 2 993103 22
[128, 1] [2, 1] 2 2 837327 22
[4, 1] [4, 1] 2 2 3133519 22
[8, 1] [4, 1] 2 2 2981967 22
[16, 1] [4, 1] 2 2 1824847 22
[32, 1] [4, 1] 2 2 1091151 22
[64, 1] [4, 1] 2 2 776015 22
[128, 1] [4, 1] 2 2 620239 22
[8, 1] [8, 1] 2 2 2906191 22
[16, 1] [8, 1] 2 2 1749071 22
[32, 1] [8, 1] 2 2 1015375 22
[64, 1] [8, 1] 2 2 700239 22
[128, 1] [8, 1] 2 2 544463 22
[16, 1] [16, 1] 2 2 1697871 22
[32, 1] [16, 1] 2 2 964175 22
[64, 1] [16, 1] 2 2 649039 22
[128, 1] [16, 1] 2 2 493263 22
[32, 1] [32, 1] 2 2 927311 22
[64, 1] [32, 1] 2 2 612175 22
[128, 1] [32, 1] 2 2 456399 22
[64, 1] [64, 1] 2 2 595791 22
[128, 1] [64, 1] 2 2 440015 22
[64, 1] [64, 1] 2 3 593487 30
[128, 1] [64, 1] 2 3 437711 30
[128, 1] [128, 1] 2 2 430799 26
[128, 1] [128, 1] 2 3 427471 36
[128, 1] [128, 1] 2 4 425295 46
[128, 1] [128, 1] 2 2 321379 26
[128, 2] [128, 1] 2 2 248547 26
[128, 4] [128, 1] 2 2 260803 27
[128, 8] [128, 1] 2 2 260883 29
[128, 16] [128, 1] 2 2 260923 32
[128, 32] [128, 1] 2 2 256719 38
[128, 64] [128, 1] 2 2 254011 50
[128, 128] [128, 1] 2 2 252859 78
[128, 1] [128, 1] 2 3 318051 36
[128, 2] [128, 1] 2 3 245219 36
[128, 4] [128, 1] 2 3 257475 37
[128, 8] [128, 1] 2 3 257555 39
[128, 16] [128, 1] 2 3 257595 42
[128, 32] [128, 1] 2 3 253391 48
[128, 64] [128, 1] 2 3 250683 60
[128, 128] [128, 1] 2 3 249531 88
[128, 1] [128, 1] 2 4 315875 46
[128, 2] [128, 1] 2 4 243043 46
[128, 4] [128, 1] 2 4 255299 47
[128, 8] [128, 1] 2 4 255379 49
[128, 16] [128, 1] 2 4 255419 52
[128, 32] [128, 1] 2 4 251215 58
[128, 64] [128, 1] 2 4 248507 70
[128, 128] [128, 1] 2 4 247355 98
[128, 2] [128, 2] 2 2 231907 30
[128, 4] [128, 2] 2 2 244163 31
[128, 8] [128, 2] 2 2 244243 33
[128, 16] [128, 2] 2 2 244283 36
[128, 32] [128, 2] 2 2 240079 42
[128, 64] [128, 2] 2 2 237371 54
[128, 128] [128, 2] 2 2 236219 80
[128, 2] [128, 2] 2 3 231267 42
[128, 4] [128, 2] 2 3 243523 43
[128, 8] [128, 2] 2 3 243603 45
[128, 16] [128, 2] 2 3 243643 48
[128, 32] [128, 2] 2 3 239439 54
[128, 64] [128, 2] 2 3 236731 66
[128, 128] [128, 2] 2 3 235579 92
[128, 4] [128, 4] 2 2 237635 35
[128, 8] [128, 4] 2 2 237715 37
[128, 16] [128, 4] 2 2 237755 40
[128, 32] [128, 4] 2 2 233551 46
[128, 64] [128, 4] 2 2 230843 58
[128, 128] [128, 4] 2 2 229691 84
[128, 4] [128, 4] 2 3 236195 49
[128, 8] [128, 4] 2 3 236275 51
[128, 16] [128, 4] 2 3 236315 54
[128, 32] [128, 4] 2 3 232111 60
[128, 64] [128, 4] 2 3 229403 72
[128, 128] [128, 4] 2 3 228251 96
[128, 4] [128, 4] 2 4 235395 63
[128, 8] [128, 4] 2 4 235475 65
[128, 16] [128, 4] 2 4 235515 68
[128, 32] [128, 4] 2 4 231311 74
[128, 64] [128, 4] 2 4 228603 86
[128, 128] [128, 4] 2 4 227451 110
[128, 8] [128, 8] 2 2 234995 49
[128, 16] [128, 8] 2 2 235035 52
[128, 32] [128, 8] 2 2 230831 58
[128, 64] [128, 8] 2 2 228123 70
[128, 128] [128, 8] 2 2 226971 94
[128, 8] [128, 8] 2 3 232419 63
[128, 16] [128, 8] 2 3 232459 66
[128, 32] [128, 8] 2 3 228255 72
[128, 64] [128, 8] 2 3 225547 84
[128, 128] [128, 8] 2 3 224395 108
[128, 8] [128, 8] 2 4 232531 81
[128, 16] [128, 8] 2 4 232571 84
[128, 32] [128, 8] 2 4 228367 90
[128, 64] [128, 8] 2 4 225659 102
[128, 128] [128, 8] 2 4 224507 126
[128, 16] [128, 16] 2 2 233035 72
[128, 32] [128, 16] 2 2 228831 78
[128, 64] [128, 16] 2 2 226123 90
[128, 128] [128, 16] 2 2 224971 114
[128, 16] [128, 16] 2 3 230699 96
[128, 32] [128, 16] 2 3 226495 102
[128, 64] [128, 16] 2 3 223787 114
[128, 128] [128, 16] 2 3 222635 138
[128, 16] [128, 16] 2 4 229707 124
[128, 32] [128, 16] 2 4 225503 130
[128, 64] [128, 16] 2 4 222795 142
[128, 128] [128, 16] 2 4 221643 166
